"Account Number","Bank","Amount","Narration"
"0690000040","access","1500","transfer to Joey"
"0690000033","access","2000","transfer to Jhene"
"0690000033","access","150","transfer to Chance"
"0690000032","access","1000","transfer to Aubrey"
"0690000031","access","5000","transfer to Jermaine"
"0690000031","access","5000","transfer to Shawn"
"0690000035","access","1000","transfer to Kendrick"
"0690000036","access","3000","transfer to Ari"
"0690000032","access","1000","transfer to Aubrey"
"0690000031","access","5000","transfer to Jermaine"
"0690000036","access","3000","transfer to Ari"
"0690000032","access","1000","transfer to Aubrey"
"0690000031","access","5000","transfer to Jermaine"
